"ensembl_id_original","ensembl_id_clean","gene_symbol","gene_biotype","description","has_symbol","is_protein_coding"
"ENSG00000279928","ENSG00000279928","DDX11L17","transcribed_unprocessed_pseudogene","DEAD/H-box helicase 11 like 17 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:55080]",TRUE,FALSE
"ENSG00000228037","ENSG00000228037","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000142611","ENSG00000142611","PRDM16","protein_coding","PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]",TRUE,TRUE
"ENSG00000284616","ENSG00000284616","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000157911","ENSG00000157911","PEX10","protein_coding","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]",TRUE,TRUE
"ENSG00000260972","ENSG00000260972","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000224340","ENSG00000224340","RPL21P21","processed_pseudogene","ribosomal protein L21 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:35728]",TRUE,FALSE
"ENSG00000226374","ENSG00000226374","LINC01345","lncRNA","long intergenic non-protein coding RNA 1345 [Source:HGNC Symbol;Acc:HGNC:50564]",TRUE,FALSE
"ENSG00000229280","ENSG00000229280","EEF1DP6","processed_pseudogene","eukaryotic translation elongation factor 1 delta pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51456]",TRUE,FALSE
"ENSG00000142655","ENSG00000142655","PEX14","protein_coding","peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]",TRUE,TRUE
"ENSG00000232596","ENSG00000232596","LINC01646","lncRNA","long intergenic non-protein coding RNA 1646 [Source:HGNC Symbol;Acc:HGNC:52433]",TRUE,FALSE
"ENSG00000235054","ENSG00000235054","LINC01777","lncRNA","long intergenic non-protein coding RNA 1777 [Source:HGNC Symbol;Acc:HGNC:52567]",TRUE,FALSE
"ENSG00000231510","ENSG00000231510","LINC02782","lncRNA","long intergenic non-protein coding RNA 2782 [Source:HGNC Symbol;Acc:HGNC:54302]",TRUE,FALSE
"ENSG00000149527","ENSG00000149527","PLCH2","protein_coding","phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]",TRUE,TRUE
"ENSG00000284739","ENSG00000284739","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000171621","ENSG00000171621","SPSB1","protein_coding","splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]",TRUE,TRUE
"ENSG00000272235","ENSG00000272235","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284694","ENSG00000284694","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000224387","ENSG00000224387","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000142583","ENSG00000142583","SLC2A5","protein_coding","solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]",TRUE,TRUE
"ENSG00000284674","ENSG00000284674","LINC02781","lncRNA","long intergenic non-protein coding RNA 2781 [Source:HGNC Symbol;Acc:HGNC:54301]",TRUE,FALSE
"ENSG00000224338","ENSG00000224338","MTCYBP45","processed_pseudogene","MT-CYB pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:52313]",TRUE,FALSE
"ENSG00000287727","ENSG00000287727","","lncRNA","novel transcript, antisense to PEX14",FALSE,FALSE
"ENSG00000286448","ENSG00000286448","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000284703","ENSG00000284703","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000226457","ENSG00000226457","RPL22P3","processed_pseudogene","ribosomal protein L22 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:36804]",TRUE,FALSE
"ENSG00000173614","ENSG00000173614","NMNAT1","protein_coding","nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]",TRUE,TRUE
"ENSG00000215720","ENSG00000215720","MFFP1","processed_pseudogene","MFF pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54537]",TRUE,FALSE
"ENSG00000241326","ENSG00000241326","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000233623","ENSG00000233623","PGAM1P11","processed_pseudogene","phosphoglycerate mutase 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42464]",TRUE,FALSE
"ENSG00000204624","ENSG00000204624","DISP3","protein_coding","dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]",TRUE,TRUE
"ENSG00000142606","ENSG00000142606","MMEL1","protein_coding","membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]",TRUE,TRUE
"ENSG00000225931","ENSG00000225931","","TEC","novel transcript",FALSE,FALSE
"ENSG00000171729","ENSG00000171729","TMEM51","protein_coding","transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]",TRUE,TRUE
"ENSG00000279457","ENSG00000279457","WASH9P","transcribed_unprocessed_pseudogene","WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]",TRUE,FALSE
"ENSG00000229393","ENSG00000229393","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000037637","ENSG00000037637","FBXO42","protein_coding","F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]",TRUE,TRUE
"ENSG00000287586","ENSG00000287586","","lncRNA","novel transcript, antisense to AJAP1",FALSE,FALSE
"ENSG00000159423","ENSG00000159423","ALDH4A1","protein_coding","aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]",TRUE,TRUE
"ENSG00000227169","ENSG00000227169","","lncRNA","novel transcript",FALSE,FALSE
"ENSG00000283356","ENSG00000283356","","unprocessed_pseudogene","mitochondrially encoded cytochrome c oxidase III (MT-CO3) pseudogene",FALSE,FALSE
"ENSG00000157916","ENSG00000157916","RER1","protein_coding","retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]",TRUE,TRUE
"ENSG00000157881","ENSG00000157881","PANK4","protein_coding","pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]",TRUE,TRUE
"ENSG00000238290","ENSG00000238290","ERRFI1-DT","lncRNA","ERRFI1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55646]",TRUE,FALSE
"ENSG00000225387","ENSG00000225387","","lncRNA","novel transcript",FALSE,FALSE
