Geneid;B1;S1;B2;S2;B3;S3;B4;S4;B6;S6;B7;S7
ENSG00000279928;0;0;0;0;0;0;0;0;0;0;0;1
ENSG00000228037;0;0;0;0;0;0;2;0;0;0;0;0
ENSG00000142611;18;18;0;1;2;3;0;2;99;0;5;1
ENSG00000284616;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000157911;152;116;115;120;116;175;104;209;135;112;151;144
ENSG00000260972;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000224340;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000226374;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000229280;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000142655;257;205;180;207;219;306;253;394;240;248;353;265
ENSG00000232596;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000235054;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000231510;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000149527;56;209;6;14;12;9;18;19;9;0;36;14
ENSG00000284739;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000171621;316;383;871;685;567;935;267;489;379;928;554;690
ENSG00000272235;1;5;8;8;3;2;3;5;3;1;1;0
ENSG00000284694;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000224387;0;1;4;0;0;0;0;0;0;0;0;1
ENSG00000142583;1;5;3;2;2;6;4;8;0;10;11;5
ENSG00000284674;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000224338;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000287727;0;2;1;0;0;0;0;0;1;0;0;0
ENSG00000286448;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284703;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000226457;1;0;0;0;0;0;0;0;0;0;0;1
ENSG00000173614;159;152;107;151;135;234;147;264;173;127;166;154
ENSG00000215720;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000241326;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233623;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000204624;3;0;2;0;0;3;0;3;0;1;4;6
ENSG00000142606;0;0;1;0;0;1;0;1;0;0;0;0
ENSG00000225931;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000171729;62;95;48;52;61;80;86;115;61;68;138;105
ENSG00000279457;17;5;21;14;11;15;9;17;12;16;21;17
ENSG00000229393;3;1;0;0;0;0;0;0;0;0;0;0
ENSG00000037637;246;287;246;250;215;295;266;402;322;243;299;351
ENSG00000287586;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000159423;348;289;272;267;259;317;302;438;304;198;432;284
ENSG00000227169;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000283356;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000157916;959;875;698;736;851;1343;998;1715;933;939;995;837
ENSG00000157881;205;258;160;203;209;275;282;391;258;199;341;252
ENSG00000238290;0;0;0;0;0;0;0;0;2;0;0;0
ENSG00000225387;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000048707;760;627;614;683;351;405;385;586;700;695;612;711
ENSG00000225196;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000162444;5;2;8;1;6;2;5;8;0;3;8;10
ENSG00000279625;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000180758;112;121;61;102;86;88;67;86;76;92;111;81
ENSG00000184677;321;285;247;263;234;268;238;407;228;209;327;276
ENSG00000288398;44;36;36;33;27;58;30;63;67;69;45;39
ENSG00000224621;2;0;2;0;2;0;0;4;5;1;4;0
ENSG00000285833;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000131697;115;98;109;122;85;94;81;134;92;93;148;94
ENSG00000284692;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000284745;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000280222;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000285945;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000197921;1;1;0;0;0;0;0;0;0;0;0;0
ENSG00000233755;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000233929;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000234166;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000235282;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000055070;2133;1885;1238;1589;1395;1840;1822;3161;1971;1641;2646;1985
ENSG00000230035;0;0;0;0;0;0;0;0;0;0;0;0
ENSG00000225643;1;0;2;1;0;6;3;3;2;2;3;1
