Geneid;B2;S2;B3;S3;B4;S4;B6;S6;B7;S7
ENSG00000279928;0;0;0;0;0;0;0;0;0;0
ENSG00000228037;0;0;0;0;0;2;0;0;1;1
ENSG00000142611;0;0;2;1;0;0;17;0;0;2
ENSG00000284616;0;0;0;0;0;0;0;0;0;0
ENSG00000157911;212;227;194;184;190;428;219;215;225;184
ENSG00000260972;0;0;0;0;0;0;0;0;0;0
ENSG00000224340;0;0;0;0;0;0;0;0;0;0
ENSG00000226374;0;0;0;0;0;0;0;0;0;0
ENSG00000229280;0;0;0;0;0;0;0;0;0;0
ENSG00000142655;249;259;198;200;180;343;297;214;160;205
ENSG00000232596;0;0;0;0;0;0;0;0;0;0
ENSG00000235054;0;0;0;0;0;0;0;0;0;0
ENSG00000231510;0;0;0;0;0;0;0;0;0;0
ENSG00000149527;0;0;0;0;0;0;4;1;0;0
ENSG00000284739;0;0;0;0;0;0;0;0;0;0
ENSG00000171621;2872;2550;2685;2078;1232;3281;969;1869;1809;2737
ENSG00000272235;1;0;1;0;0;0;4;0;1;0
ENSG00000284694;0;0;0;0;0;0;0;0;0;0
ENSG00000224387;0;0;0;0;0;0;0;0;0;0
ENSG00000142583;33;76;36;28;70;146;43;60;36;18
ENSG00000284674;0;0;0;0;0;0;0;0;0;0
ENSG00000224338;0;0;0;0;0;0;0;0;0;0
ENSG00000287727;0;0;0;0;0;0;2;0;0;0
ENSG00000286448;0;0;0;0;0;0;0;0;0;0
ENSG00000284703;0;0;0;0;0;0;0;0;0;0
ENSG00000226457;0;0;0;2;0;1;0;0;1;0
ENSG00000173614;22;15;29;21;33;67;202;22;23;34
ENSG00000215720;0;0;0;0;0;0;0;0;0;0
ENSG00000241326;0;0;0;0;0;0;0;0;0;0
ENSG00000233623;0;0;0;0;0;0;0;0;0;0
ENSG00000204624;2;3;0;0;1;0;2;1;1;4
ENSG00000142606;0;0;0;0;1;0;0;0;0;0
ENSG00000225931;0;0;0;0;0;0;0;0;0;0
ENSG00000171729;212;203;90;88;117;259;342;166;222;312
ENSG00000279457;22;22;19;17;6;40;25;14;25;33
ENSG00000229393;0;0;0;0;0;0;0;0;0;0
ENSG00000037637;449;443;414;322;330;723;474;515;490;476
ENSG00000287586;0;0;0;0;0;0;0;0;0;0
ENSG00000159423;320;209;266;271;275;475;124;155;229;185
ENSG00000227169;0;0;0;0;0;0;0;0;0;0
ENSG00000283356;0;0;0;0;0;0;0;0;0;0
ENSG00000157916;1860;1861;1595;1574;1731;3738;1704;2067;2135;1865
ENSG00000157881;211;216;169;195;236;447;244;207;203;231
ENSG00000238290;0;0;0;0;0;0;3;0;0;0
ENSG00000225387;0;0;0;0;0;0;0;0;0;0
ENSG00000048707;611;537;439;482;331;940;790;644;444;595
ENSG00000225196;0;0;0;0;0;0;0;0;0;0
ENSG00000162444;0;0;0;0;0;0;1;0;0;0
ENSG00000279625;0;0;0;0;0;0;0;0;0;0
ENSG00000180758;4;5;1;18;14;14;86;0;3;3
ENSG00000184677;303;279;212;243;227;517;414;287;203;298
ENSG00000288398;40;28;33;39;32;81;97;11;16;42
ENSG00000224621;0;0;0;0;0;2;1;0;0;0
ENSG00000285833;0;0;0;0;0;0;0;0;0;0
ENSG00000131697;113;110;121;124;126;185;165;85;98;118
